Date,Price,Open,High,Low,Vol.,Change %,50_days_MA,200_days_MA,365_days_MA,500_days_MA
2024-01-01,788.17,782.59,796.24,778.65,12.57M,1.37%,,,,
2023-12-29,777.55,752.68,800.43,751.68,41.17M,3.46%,,,,
2023-12-28,751.58,740.37,755.62,736.78,14.91M,1.75%,,,,
2023-12-27,738.62,725.76,739.57,722.92,15.05M,2.97%,,,,
2023-12-26,717.34,725.16,725.26,714.4,7.23M,-0.71%,,,,
2023-12-22,722.47,714.59,728.75,709.81,12.06M,2.24%,,,,
2023-12-21,706.67,700.84,709.71,694.11,7.70M,0.51%,,,,
2023-12-20,703.08,728.7,730.74,700.89,8.11M,-3.25%,,,,
2023-12-19,726.71,730.35,730.35,723.77,4.51M,-0.25%,,,,
2023-12-18,728.55,730.65,732.49,725.86,5.45M,-0.22%,,,,
2023-12-15,730.15,721.67,731.74,719.03,12.08M,1.76%,,,,
2023-12-14,717.54,721.77,722.47,716.39,6.73M,-0.08%,,,,
2023-12-13,718.08,713.8,719.23,711.3,5.81M,0.68%,,,,
2023-12-12,713.2,722.57,722.57,710.81,6.46M,-0.75%,,,,
2023-11-12,718.58,715.59,724.27,714.35,6.40M,0.87%,,,,
2023-08-12,712.35,719.83,725.36,705.32,8.56M,-1.02%,,,,
2023-07-12,719.73,722.77,725.26,713.8,10.45M,-0.07%,,,,
2023-06-12,720.23,706.87,722.57,706.82,12.15M,1.90%,,,,
2023-05-12,706.77,703.73,712.7,702.83,9.60M,0.47%,,,,
2023-04-12,703.43,713.8,714.79,702.63,9.35M,0.02%,,,,
2023-01-12,703.28,705.82,708.81,700.84,10.57M,-0.13%,,,,
2023-11-30,704.23,714.1,715.04,694.86,24.28M,-0.84%,,,,
2023-11-29,710.16,700.59,712.2,692.21,16.12M,2.13%,,,,
2023-11-28,695.35,675.37,697.3,672.18,16.02M,3.53%,,,,
2023-11-24,671.63,679.3,679.85,669.18,6.95M,-0.92%,,,,
2023-11-23,677.86,681.1,683.79,674.97,5.89M,-0.18%,,,,
2023-11-22,679.1,681.85,685.24,673.97,9.28M,-0.07%,,,,
2023-11-21,679.6,674.92,681.2,672.92,7.29M,1.10%,,,,
2023-11-20,672.23,679.9,684.64,668.64,8.32M,-1.06%,,,,
2023-11-17,679.45,680.4,685.53,677.51,9.56M,0.17%,,,,
2023-11-16,678.31,671.93,683.39,668.84,17.50M,1.32%,,,,
2023-11-15,669.48,657.97,671.43,654.53,11.32M,2.80%,,,,
2023-11-13,651.24,650.99,651.99,647.3,3.28M,-0.35%,,,,
2023-12-11,653.55,657.95,657.95,652.7,2.24M,0.69%,,,,
2023-10-11,649.05,647.35,650.94,642.02,6.43M,0.26%,,,,
2023-09-11,647.35,642.02,651.64,640.72,10.16M,1.06%,,,,
2023-08-11,640.57,646.01,647.05,639.93,6.55M,-0.38%,,,,
2023-07-11,643.02,643.02,647.9,641.32,6.59M,-0.16%,,,,
2023-06-11,644.06,650.84,650.84,641.22,10.80M,-0.22%,,,,
2023-03-11,645.51,659.96,663.95,644.21,23.09M,1.74%,,,,
2023-02-11,634.49,630.06,636.24,628.16,9.93M,1.39%,,,,
2023-01-11,625.77,628.06,631.85,624.37,8.79M,-0.15%,,,,
2023-10-31,626.72,640.03,640.03,625.37,11.40M,0.02%,,,,
2023-10-30,626.57,641.82,641.82,619.94,12.79M,-1.96%,,,,
2023-10-27,639.08,628.06,641.97,626.52,10.23M,2.31%,,,,
2023-10-26,624.62,633.05,633.7,622.23,8.89M,-1.77%,,,,
2023-10-25,635.89,648.0,649.9,634.09,8.23M,-1.47%,,,,
2023-10-23,645.36,661.61,665.2,643.02,8.56M,-2.39%,,,,
2023-10-20,661.16,664.6,674.32,658.47,11.76M,-0.84%,,,,
2023-10-19,666.74,660.91,670.23,656.57,10.63M,0.04%,686.0446000000001,,,
2023-10-18,666.44,656.57,670.18,651.79,14.91M,1.95%,683.61,,,
2023-10-17,653.68,667.94,668.84,652.64,10.26M,-1.58%,681.1325999999999,,,
2023-10-16,664.15,666.49,675.72,659.22,20.01M,-0.13%,679.3839999999999,,,
2023-10-13,665.05,632.0,666.94,631.05,28.01M,4.73%,677.9126000000001,,,
2023-12-10,634.99,635.04,638.23,633.1,5.93M,0.47%,676.2656,,,
2023-11-10,632.05,631.05,635.84,630.65,7.70M,0.55%,674.4571999999998,,,
2023-10-10,628.61,618.09,630.55,615.7,9.83M,2.14%,672.896,,,
2023-09-10,615.45,618.89,620.09,611.81,6.38M,-0.82%,671.1433999999999,,,
2023-06-10,620.53,625.07,625.42,618.09,7.92M,0.46%,669.0197999999999,,,
2023-05-10,617.69,617.1,619.44,612.76,7.89M,0.98%,666.8026,,,
2023-04-10,611.71,618.89,618.89,606.43,7.61M,-1.10%,664.4338,,,
2023-03-10,618.54,630.65,630.7,616.7,6.89M,-1.55%,662.4538,,,
2023-09-29,628.26,616.8,631.05,615.1,8.97M,2.62%,660.6574,,,
2023-09-28,612.21,620.98,621.88,610.37,6.77M,-0.98%,658.6376000000001,,,
2023-09-27,618.24,618.04,619.99,614.85,5.96M,0.06%,656.6308,,,
2023-09-26,617.89,616.8,623.78,616.05,6.27M,0.18%,654.7416000000001,,,
2023-09-25,616.8,621.93,623.28,616.0,6.39M,-0.28%,652.683,,,
2023-09-22,618.54,626.07,628.86,617.1,6.55M,-1.05%,650.6492000000001,,,
2023-09-21,625.12,636.54,639.73,622.08,9.27M,-1.79%,649.0162,,,
2023-09-20,636.54,638.73,645.01,635.04,11.78M,-0.34%,647.6784,,,
2023-09-18,638.68,633.94,642.22,631.2,11.11M,1.01%,646.3864,,,
2023-09-15,632.3,626.77,634.54,625.22,18.92M,1.54%,644.9478,,,
2023-09-14,622.68,626.17,628.86,621.38,5.72M,-0.21%,643.1982,,,
2023-09-13,623.97,619.09,626.57,617.64,6.99M,0.82%,641.7706,,,
2023-12-09,618.89,636.04,637.03,613.36,12.54M,-2.21%,640.7158000000001,,,
2023-11-09,632.9,632.7,633.45,628.56,8.78M,1.21%,639.8166,,,
2023-08-09,625.32,616.05,626.97,612.31,16.19M,2.01%,638.741,,,
2023-07-09,613.01,609.02,614.6,607.18,6.52M,0.76%,637.4092,,,
2023-06-09,608.37,609.27,610.67,603.74,6.52M,-0.15%,636.132,,,
2023-05-09,609.27,608.12,617.0,606.18,8.56M,0.35%,634.7284000000001,,,
2023-04-09,607.13,613.71,613.71,604.14,8.39M,-0.36%,633.3048,,,
2023-01-09,609.32,602.34,613.01,600.05,10.30M,1.70%,632.1016000000001,,,
2023-08-31,599.15,606.93,607.78,597.21,10.54M,-0.75%,631.0598,,,
